Data Description:
        'G03_BL_M': 51,
        'G03_HI_F': 51,
        'G03_HI_M': 51,
        'G03_HP_F': 51,
        'G03_HP_M': 51,
        'G03_TR_F': 51,
        'G03_TR_M': 51,
        'G03_WH_F': 51,
        'G03_WH_M': 51,
        'G04_AM_F': 51,
        'G04_AM_M': 51,
        'G04_AS_F': 51,
        'G04_AS_M': 51,
        'G04_A_A': 0,
        'G04_BL_F': 51,
        'G04_BL_M': 51,
        'G04_HI_F': 51,
        'G04_HI_M': 51,
        'G04_HP_F': 51,
        'G04_HP_M': 51,
        'G04_TR_F': 51,
        'G04_TR_M': 51,
        'G04_WH_F': 51,
        'G04_WH_M': 51,
        'G05_AM_F': 51,
        'G05_AM_M': 51,
        'G05_AS_F': 51,
        'G05_AS_M': 51,
        'G05_A_A': 0,
        'G05_BL_F': 51,
        'G05_BL_M': 51,
        'G05_HI_F': 51,
        'G05_HI_M': 51,
        'G05_HP_F': 51,
        'G05_HP_M': 51,
        'G05_TR_F': 51,
        'G05_TR_M': 51,
        'G05_WH_F': 51,
        'G05_WH_M': 51,
        'G06_AM_F': 51,
        'G06_AM_M': 51,
        'G06_AS_F': 51,
        'G06_AS_M': 51,
        'G06_A_A': 0,
        'G06_BL_F': 51,
        'G06_BL_M': 51,
        'G06_HI_F': 51,
        'G06_HI_M': 51,
        'G06_HP_F': 51,
        'G06_HP_M': 51,
        'G06_TR_F': 51,
        'G06_TR_M': 51,
        'G06_WH_F': 51,
        'G06_WH_M': 51,
        'G07_AM_F': 51,
        'G07_AM_M': 51,
        'G07_AS_F': 51,
        'G07_AS_M': 51,
        'G07_A_A': 0,
        'G07_BL_F': 51,
        'G07_BL_M': 51,
        'G07_HI_F': 51,
        'G07_HI_M': 51,
        'G07_HP_F': 51,
        'G07_HP_M': 51,
        'G07_TR_F': 51,
        'G07_TR_M': 51,
        'G07_WH_F': 51,
        'G07_WH_M': 51,
        'G08_AM_F': 51,
        'G08_AM_M': 51,
        'G08_AS_F': 51,
        'G08_AS_M': 51,
        'G08_A_A': 0,
        'G08_BL_F': 51,
        'G08_BL_M': 51,
        'G08_HI_F': 51,
        'G08_HI_M': 51,
        'G08_HP_F': 51,
        'G08_HP_M': 51,
        'G08_TR_F': 51,
        'G08_TR_M': 51,
        'G08_WH_F': 51,
        'G08_WH_M': 51,
        'G09-G12_A_A': 51,
        'G09_AM_F': 51,
        'G09_AM_M': 51,
        'G09_AS_F': 51,
        'G09_AS_M': 51,
        'G09_A_A': 0,
        'G09_BL_F': 51,
        'G09_BL_M': 51,
        'G09_HI_F': 51,
        'G09_HI_M': 51,
        'G09_HP_F': 51,
        'G09_HP_M': 51,
        'G09_TR_F': 51,
        'G09_TR_M': 51,
        'G09_WH_F': 51,
        'G09_WH_M': 51,
        'G10_AM_F': 51,
        'G10_AM_M': 51,
        'G10_AS_F': 51,
        'G10_AS_M': 51,
        'G10_A_A': 0,
        'G10_BL_F': 51,
        'G10_BL_M': 51,
        'G10_HI_F': 51,
        'G10_HI_M': 51,
        'G10_HP_F': 51,
        'G10_HP_M': 51,
        'G10_TR_F': 51,
        'G10_TR_M': 51,
        'G10_WH_F': 51,
        'G10_WH_M': 51,
        'G11_AM_F': 51,
        'G11_AM_M': 51,
        'G11_AS_F': 51,
        'G11_AS_M': 51,
        'G11_A_A': 0,
        'G11_BL_F': 51,
        'G11_BL_M': 51,
        'G11_HI_F': 51,
        'G11_HI_M': 51,
        'G11_HP_F': 51,
        'G11_HP_M': 51,
        'G11_TR_F': 51,
        'G11_TR_M': 51,
        'G11_WH_F': 51,
        'G11_WH_M': 51,
        'G12_AM_F': 51,
        'G12_AM_M': 51,
        'G12_AS_F': 51,
        'G12_AS_M': 51,
        'G12_A_A': 0,
        'G12_BL_F': 51,
        'G12_BL_M': 51,
        'G12_HI_F': 51,
        'G12_HI_M': 51,
        'G12_HP_F': 51,
        'G12_HP_M': 51,
        'G12_TR_F': 51,
        'G12_TR_M': 51,
        'G12_WH_F': 51,
        'G12_WH_M': 51,
        'KG_AM_F': 51,
        'KG_AM_M': 51,
        'KG_AS_F': 51,
        'KG_AS_M': 51,
        'KG_A_A': 0,
        'KG_BL_F': 51,
        'KG_BL_M': 51,
        'KG_HI_F': 51,
        'KG_HI_M': 51,
        'KG_HP_F': 51,
        'KG_HP_M': 51,
        'KG_TR_F': 51,
        'KG_TR_M': 51,
        'KG_WH_F': 51,
        'KG_WH_M': 51,
        'PK_AM_F': 51,
        'PK_AM_M': 51,
        'PK_AS_F': 51,
        'PK_AS_M': 51,
        'PK_A_A': 17,
        'PK_BL_F': 51,
        'PK_BL_M': 51,
        'PK_HI_F': 51,
        'PK_HI_M': 51,
        'PK_HP_F': 51,
        'PK_HP_M': 51,
        'PK_TR_F': 51,
        'PK_TR_M': 51,
        'PK_WH_F': 51,
        'PK_WH_M': 51,
        'PRIMARY_KEY': 0,
        'STATE': 0,
        'YEAR': 0},
 1987: {'A_A_A': 0,
        'G01-G08_A_A': 51,
        'G01_AM_F': 51,
        'G01_AM_M': 51,
        'G01_AS_F': 51,
        'G01_AS_M': 51,
        'G01_A_A': 0,
        'G01_BL_F': 51,
        'G01_BL_M': 51,
        'G01_HI_F': 51,
        'G01_HI_M': 51,
        'G01_HP_F': 51,
        'G01_HP_M': 51,
        'G01_TR_F': 51,
        'G01_TR_M': 51,
        'G01_WH_F': 51,
        'G01_WH_M': 51,
        'G02_AM_F': 51,
        'G02_AM_M': 51,
        'G02_AS_F': 51,
        'G02_AS_M': 51,
        'G02_A_A': 0,
        'G02_BL_F': 51,
        'G02_BL_M': 51,
        'G02_HI_F': 51,
        'G02_HI_M': 51,
        'G02_HP_F': 51,
        'G02_HP_M': 51,
        'G02_TR_F': 51,
        'G02_TR_M': 51,
        'G02_WH_F': 51,
        'G02_WH_M': 51,
        'G03_AM_F': 51,
        'G03_AM_M': 51,
        'G03_AS_F': 51,
        'G03_AS_M': 51,
        'G03_A_A': 0,
        'G03_BL_F': 51,
        'G03_BL_M': 51,
        'G03_HI_F': 51,
        'G03_HI_M': 51,
        'G03_HP_F': 51,
        'G03_HP_M': 51,
        'G03_TR_F': 51,
        'G03_TR_M': 51,
        'G03_WH_F': 51,
        'G03_WH_M': 51,
        'G04_AM_F': 51,
        'G04_AM_M': 51,
        'G04_AS_F': 51,
        'G04_AS_M': 51,
        'G04_A_A': 0,
        'G04_BL_F': 51,
        'G04_BL_M': 51,
        'G04_HI_F': 51,
        'G04_HI_M': 51,
        'G04_HP_F': 51,
        'G04_HP_M': 51,
        'G04_TR_F': 51,
        'G04_TR_M': 51,
        'G04_WH_F': 51,
        'G04_WH_M': 51,
        'G05_AM_F': 51,
        'G05_AM_M': 51,
        'G05_AS_F': 51,
        'G05_AS_M': 51,
        'G05_A_A': 0,
        'G05_BL_F': 51,
        'G05_BL_M': 51,
        'G05_HI_F': 51,
        'G05_HI_M': 51,
        'G05_HP_F': 51,
        'G05_HP_M': 51,
        'G05_TR_F': 51,
        'G05_TR_M': 51,
        'G05_WH_F': 51,
        'G05_WH_M': 51,
        'G06_AM_F': 51,
        'G06_AM_M': 51,
        'G06_AS_F': 51,
        'G06_AS_M': 51,
        'G06_A_A': 0,
        'G06_BL_F': 51,
        'G06_BL_M': 51,
        'G06_HI_F': 51,
        'G06_HI_M': 51,
        'G06_HP_F': 51,
        'G06_HP_M': 51,
        'G06_TR_F': 51,
        'G06_TR_M': 51,
        'G06_WH_F': 51,
        'G06_WH_M': 51,
        'G07_AM_F': 51,
        'G07_AM_M': 51,
        'G07_AS_F': 51,
        'G07_AS_M': 51,
        'G07_A_A': 0,
        'G07_BL_F': 51,
        'G07_BL_M': 51,
        'G07_HI_F': 51,
        'G07_HI_M': 51,
        'G07_HP_F': 51,
        'G07_HP_M': 51,
        'G07_TR_F': 51,
        'G07_TR_M': 51,
        'G07_WH_F': 51,
        'G07_WH_M': 51,
        'G08_AM_F': 51,
        'G08_AM_M': 51,
        'G08_AS_F': 51,
        'G08_AS_M': 51,
        'G08_A_A': 0,
        'G08_BL_F': 51,
        'G08_BL_M': 51,
        'G08_HI_F': 51,
        'G08_HI_M': 51,
        'G08_HP_F': 51,
        'G08_HP_M': 51,
        'G08_TR_F': 51,
        'G08_TR_M': 51,
        'G08_WH_F': 51,
        'G08_WH_M': 51,
        'G09-G12_A_A': 51,
        'G09_AM_F': 51,
        'G09_AM_M': 51,
        'G09_AS_F': 51,
        'G09_AS_M': 51,
        'G09_A_A': 0,
        'G09_BL_F': 51,
        'G09_BL_M': 51,
        'G09_HI_F': 51,
        'G09_HI_M': 51,
        'G09_HP_F': 51,
        'G09_HP_M': 51,
        'G09_TR_F': 51,
        'G09_TR_M': 51,
        'G09_WH_F': 51,
        'G09_WH_M': 51,
        'G10_AM_F': 51,
        'G10_AM_M': 51,
        'G10_AS_F': 51,
        'G10_AS_M': 51,
        'G10_A_A': 0,
        'G10_BL_F': 51,
        'G10_BL_M': 51,
        'G10_HI_F': 51,
        'G10_HI_M': 51,
        'G10_HP_F': 51,
        'G10_HP_M': 51,
        'G10_TR_F': 51,
        'G10_TR_M': 51,
        'G10_WH_F': 51,
        'G10_WH_M': 51,
        'G11_AM_F': 51,
        'G11_AM_M': 51,
        'G11_AS_F': 51,
        'G11_AS_M': 51,
        'G11_A_A': 0,
        'G11_BL_F': 51,
        'G11_BL_M': 51,
        'G11_HI_F': 51,
        'G11_HI_M': 51,
        'G11_HP_F': 51,
        'G11_HP_M': 51,
        'G11_TR_F': 51,
        'G11_TR_M': 51,
        'G11_WH_F': 51,
        'G11_WH_M': 51,
        'G12_AM_F': 51,
        'G12_AM_M': 51,
        'G12_AS_F': 51,
        'G12_AS_M': 51,
        'G12_A_A': 0,
        'G12_BL_F': 51,
        'G12_BL_M': 51,
        'G12_HI_F': 51,
        'G12_HI_M': 51,
        'G12_HP_F': 51,
        'G12_HP_M': 51,
        'G12_TR_F': 51,
        'G12_TR_M': 51,
        'G12_WH_F': 51,
        'G12_WH_M': 51,
        'KG_AM_F': 51,
        'KG_AM_M': 51,
        'KG_AS_F': 51,
        'KG_AS_M': 51,
        'KG_A_A': 0,
        'KG_BL_F': 51,
        'KG_BL_M': 51,
        'KG_HI_F': 51,
        'KG_HI_M': 51,
        'KG_HP_F': 51,
        'KG_HP_M': 51,
        'KG_TR_F': 51,
        'KG_TR_M': 51,
        'KG_WH_F': 51,
        'KG_WH_M': 51,
        'PK_AM_F': 51,
        'PK_AM_M': 51,
        'PK_AS_F': 51,
        'PK_AS_M': 51,
        'PK_A_A': 18,
        'PK_BL_F': 51,
        'PK_BL_M': 51,
        'PK_HI_F': 51,
        'PK_HI_M': 51,
        'PK_HP_F': 51,
        'PK_HP_M': 51,
        'PK_TR_F': 51,
        'PK_TR_M': 51,
        'PK_WH_F': 51,
        'PK_WH_M': 51,
        'PRIMARY_KEY': 0,
        'STATE': 0,
        'YEAR': 0},
 1988: {'A_A_A': 0,
        'G01-G08_A_A': 51,
        'G01_AM_F': 51,
        'G01_AM_M': 51,
        'G01_AS_F': 51,
        'G01_AS_M': 51,
        'G01_A_A': 0,
        'G01_BL_F': 51,
        'G01_BL_M': 51,
        'G01_HI_F': 51,
        'G01_HI_M': 51,
        'G01_HP_F': 51,
        'G01_HP_M': 51,
        'G01_TR_F': 51,
        'G01_TR_M': 51,
        'G01_WH_F': 51,
        'G01_WH_M': 51,
        'G02_AM_F': 51,
        'G02_AM_M': 51,
        'G02_AS_F': 51,
        'G02_AS_M': 51,
        'G02_A_A': 0,
        'G02_BL_F': 51,
        'G02_BL_M': 51,
        'G02_HI_F': 51,
        'G02_HI_M': 51,
        'G02_HP_F': 51,
        'G02_HP_M': 51,
        'G02_TR_F': 51,
        'G02_TR_M': 51,
        'G02_WH_F': 51,
        'G02_WH_M': 51,
        'G03_AM_F': 51,
        'G03_AM_M': 51,
        'G03_AS_F': 51,
        'G03_AS_M': 51,
        'G03_A_A': 0,
        'G03_BL_F': 51,
        'G03_BL_M': 51,
        'G03_HI_F': 51,
        'G03_HI_M': 51,
        'G03_HP_F': 51,
        'G03_HP_M': 51,
        'G03_TR_F': 51,
        'G03_TR_M': 51,
        'G03_WH_F': 51,
        'G03_WH_M': 51,
        'G04_AM_F': 51,
        'G04_AM_M': 51,
        'G04_AS_F': 51,
        'G04_AS_M': 51,
        'G04_A_A': 0,
        'G04_BL_F': 51,
        'G04_BL_M': 51,
        'G04_HI_F': 51,
        'G04_HI_M': 51,
        'G04_HP_F': 51,
        'G04_HP_M': 51,
        'G04_TR_F': 51,
        'G04_TR_M': 51,
        'G04_WH_F': 51,
        'G04_WH_M': 51,
        'G05_AM_F': 51,
        'G05_AM_M': 51,
        'G05_AS_F': 51,
        'G05_AS_M': 51,
        'G05_A_A': 0,
        'G05_BL_F': 51,
        'G05_BL_M': 51,
        'G05_HI_F': 51,
        'G05_HI_M': 51,
        'G05_HP_F': 51,
        'G05_HP_M': 51,
        'G05_TR_F': 51,
        'G05_TR_M': 51,
        'G05_WH_F': 51,
        'G05_WH_M': 51,
        'G06_AM_F': 51,
        'G06_AM_M': 51,
        'G06_AS_F': 51,
        'G06_AS_M': 51,
        'G06_A_A': 0,
        'G06_BL_F': 51,
        'G06_BL_M': 51,
        'G06_HI_F': 51,
        'G06_HI_M': 51,
        'G06_HP_F': 51,
        'G06_HP_M': 51,
        'G06_TR_F': 51,
        'G06_TR_M': 51,
        'G06_WH_F': 51,
        'G06_WH_M': 51,
        'G07_AM_F': 51,
        'G07_AM_M': 51,
        'G07_AS_F': 51,
        'G07_AS_M': 51,
        'G07_A_A': 0,
        'G07_BL_F': 51,
        'G07_BL_M': 51,
        'G07_HI_F': 51,
        'G07_HI_M': 51,
        'G07_HP_F': 51,
        'G07_HP_M': 51,
        'G07_TR_F': 51,
        'G07_TR_M': 51,
        'G07_WH_F': 51,
        'G07_WH_M': 51,
        'G08_AM_F': 51,
        'G08_AM_M': 51,
        'G08_AS_F': 51,
        'G08_AS_M': 51,
        'G08_A_A': 0,
        'G08_BL_F': 51,
        'G08_BL_M': 51,
        'G08_HI_F': 51,
        'G08_HI_M': 51,
        'G08_HP_F': 51,
        'G08_HP_M': 51,
        'G08_TR_F': 51,
        'G08_TR_M': 51,
        'G08_WH_F': 51,
        'G08_WH_M': 51,
        'G09-G12_A_A': 51,
        'G09_AM_F': 51,
        'G09_AM_M': 51,
        'G09_AS_F': 51,
        'G09_AS_M': 51,
        'G09_A_A': 0,
        'G09_BL_F': 51,
        'G09_BL_M': 51,
        'G09_HI_F': 51,
        'G09_HI_M': 51,
        'G09_HP_F': 51,
        'G09_HP_M': 51,
        'G09_TR_F': 51,
        'G09_TR_M': 51,
        'G09_WH_F': 51,
        'G09_WH_M': 51,
        'G10_AM_F': 51,
        'G10_AM_M': 51,
        'G10_AS_F': 51,
        'G10_AS_M': 51,
        'G10_A_A': 0,
        'G10_BL_F': 51,
        'G10_BL_M': 51,
        'G10_HI_F': 51,
        'G10_HI_M': 51,
        'G10_HP_F': 51,
        'G10_HP_M': 51,
        'G10_TR_F': 51,
        'G10_TR_M': 51,
        'G10_WH_F': 51,
        'G10_WH_M': 51,
        'G11_AM_F': 51,
        'G11_AM_M': 51,
        'G11_AS_F': 51,
        'G11_AS_M': 51,
        'G11_A_A': 0,
        'G11_BL_F': 51,
        'G11_BL_M': 51,
        'G11_HI_F': 51,
        'G11_HI_M': 51,
        'G11_HP_F': 51,
        'G11_HP_M': 51,
        'G11_TR_F': 51,
        'G11_TR_M': 51,
        'G11_WH_F': 51,
        'G11_WH_M': 51,
        'G12_AM_F': 51,
        'G12_AM_M': 51,
        'G12_AS_F': 51,
        'G12_AS_M': 51,
        'G12_A_A': 0,
        'G12_BL_F': 51,
        'G12_BL_M': 51,
        'G12_HI_F': 51,
        'G12_HI_M': 51,
        'G12_HP_F': 51,
        'G12_HP_M': 51,
        'G12_TR_F': 51,
        'G12_TR_M': 51,
        'G12_WH_F': 51,
        'G12_WH_M': 51,
        'KG_AM_F': 51,
        'KG_AM_M': 51,
        'KG_AS_F': 51,
        'KG_AS_M': 51,
        'KG_A_A': 0,
        'KG_BL_F': 51,
        'KG_BL_M': 51,
        'KG_HI_F': 51,
        'KG_HI_M': 51,
        'KG_HP_F': 51,
        'KG_HP_M': 51,
        'KG_TR_F': 51,
        'KG_TR_M': 51,
        'KG_WH_F': 51,
        'KG_WH_M': 51,
        'PK_AM_F': 51,
        'PK_AM_M': 51,
        'PK_AS_F': 51,
        'PK_AS_M': 51,
        'PK_A_A': 16,
        'PK_BL_F': 51,
        'PK_BL_M': 51,
        'PK_HI_F': 51,
        'PK_HI_M': 51,
        'PK_HP_F': 51,
        'PK_HP_M': 51,
        'PK_TR_F': 51,
        'PK_TR_M': 51,
        'PK_WH_F': 51,
        'PK_WH_M': 51,
        'PRIMARY_KEY': 0,
        'STATE': 0,
        'YEAR': 0},
 1989: {'A_A_A': 0,
        'G01-G08_A_A': 51,
        'G01_AM_F': 51,
        'G01_AM_M': 51,
        'G01_AS_F': 51,
        'G01_AS_M': 51,
        'G01_A_A': 0,
        'G01_BL_F': 51,
        'G01_BL_M': 51,
        'G01_HI_F': 51,
        'G01_HI_M': 51,
        'G01_HP_F': 51,
        'G01_HP_M': 51,
        'G01_TR_F': 51,
        'G01_TR_M': 51,
        'G01_WH_F': 51,
        'G01_WH_M': 51,
        'G02_AM_F': 51,
        'G02_AM_M': 51,
        'G02_AS_F': 51,
        'G02_AS_M': 51,
        'G02_A_A': 0,
        'G02_BL_F': 51,
        'G02_BL_M': 51,
        'G02_HI_F': 51,
        'G02_HI_M': 51,
        'G02_HP_F': 51,
        'G02_HP_M': 51,
        'G02_TR_F': 51,
        'G02_TR_M': 51,
        'G02_WH_F': 51,
        'G02_WH_M': 51,
        'G03_AM_F': 51,
        'G03_AM_M': 51,
        'G03_AS_F': 51,
        'G03_AS_M': 51,
        'G03_A_A': 0,
        'G03_BL_F': 51,
        'G03_BL_M': 51,
        'G03_HI_F': 51,
        'G03_HI_M': 51,
        'G03_HP_F': 51,
        'G03_HP_M': 51,
        'G03_TR_F': 51,
        'G03_TR_M': 51,
        'G03_WH_F': 51,
        'G03_WH_M': 51,
        'G04_AM_F': 51,
        'G04_AM_M': 51,
        'G04_AS_F': 51,
        'G04_AS_M': 51,
        'G04_A_A': 0,
        'G04_BL_F': 51,
        'G04_BL_M': 51,
        'G04_HI_F': 51,
        'G04_HI_M': 51,
        'G04_HP_F': 51,
        'G04_HP_M': 51,
        'G04_TR_F': 51,
        'G04_TR_M': 51,
        'G04_WH_F': 51,
        'G04_WH_M': 51,
        'G05_AM_F': 51,
        'G05_AM_M': 51,
        'G05_AS_F': 51,
        'G05_AS_M': 51,
        'G05_A_A': 0,
        'G05_BL_F': 51,
        'G05_BL_M': 51,
        'G05_HI_F': 51,
        'G05_HI_M': 51,
        'G05_HP_F': 51,
        'G05_HP_M': 51,
        'G05_TR_F': 51,
        'G05_TR_M': 51,
        'G05_WH_F': 51,
        'G05_WH_M': 51,
        'G06_AM_F': 51,
        'G06_AM_M': 51,
        'G06_AS_F': 51,
        'G06_AS_M': 51,
        'G06_A_A': 0,
        'G06_BL_F': 51,
        'G06_BL_M': 51,
        'G06_HI_F': 51,
        'G06_HI_M': 51,
        'G06_HP_F': 51,
        'G06_HP_M': 51,
        'G06_TR_F': 51,
        'G06_TR_M': 51,
        'G06_WH_F': 51,
        'G06_WH_M': 51,
        'G07_AM_F': 51,
        'G07_AM_M': 51,
        'G07_AS_F': 51,
        'G07_AS_M': 51,
        'G07_A_A': 0,
        'G07_BL_F': 51,
        'G07_BL_M': 51,
        'G07_HI_F': 51,
        'G07_HI_M': 51,
        'G07_HP_F': 51,
        'G07_HP_M': 51,
        'G07_TR_F': 51,
        'G07_TR_M': 51,
        'G07_WH_F': 51,
        'G07_WH_M': 51,
        'G08_AM_F': 51,
        'G08_AM_M': 51,
        'G08_AS_F': 51,
        'G08_AS_M': 51,
        'G08_A_A': 0,
        'G08_BL_F': 51,
        'G08_BL_M': 51,
        'G08_HI_F': 51,
        'G08_HI_M': 51,
        'G08_HP_F': 51,
        'G08_HP_M': 51,
        'G08_TR_F': 51,
        'G08_TR_M': 51,
        'G08_WH_F': 51,
        'G08_WH_M': 51,
        'G09-G12_A_A': 51,
        'G09_AM_F': 51,
        'G09_AM_M': 51,
        'G09_AS_F': 51,
        'G09_AS_M': 51,
        'G09_A_A': 0,
        'G09_BL_F': 51,
        'G09_BL_M': 51,
        'G09_HI_F': 51,
        'G09_HI_M': 51,
        'G09_HP_F': 51,
        'G09_HP_M': 51,
        'G09_TR_F': 51,
        'G09_TR_M': 51,
        'G09_WH_F': 51,
        'G09_WH_M': 51,
        'G10_AM_F': 51,
        'G10_AM_M': 51,
        'G10_AS_F': 51,
        'G10_AS_M': 51,
        'G10_A_A': 0,
        'G10_BL_F': 51,
        'G10_BL_M': 51,
        'G10_HI_F': 51,
        'G10_HI_M': 51,
        'G10_HP_F': 51,
        'G10_HP_M': 51,
        'G10_TR_F': 51,
        'G10_TR_M': 51,
        'G10_WH_F': 51,
        'G10_WH_M': 51,
        'G11_AM_F': 51,
        'G11_AM_M': 51,
        'G11_AS_F': 51,
        'G11_AS_M': 51,
        'G11_A_A': 0,
        'G11_BL_F': 51,
        'G11_BL_M': 51,
        'G11_HI_F': 51,
        'G11_HI_M': 51,
        'G11_HP_F': 51,
        'G11_HP_M': 51,
        'G11_TR_F': 51,
        'G11_TR_M': 51,
        'G11_WH_F': 51,
        'G11_WH_M': 51,
        'G12_AM_F': 51,
        'G12_AM_M': 51,
        'G12_AS_F': 51,
        'G12_AS_M': 51,
        'G12_A_A': 0,
        'G12_BL_F': 51,
        'G12_BL_M': 51,
        'G12_HI_F': 51,
        'G12_HI_M': 51,
        'G12_HP_F': 51,
        'G12_HP_M': 51,
        'G12_TR_F': 51,
        'G12_TR_M': 51,
        'G12_WH_F': 51,
        'G12_WH_M': 51,
        'KG_AM_F': 51,
        'KG_AM_M': 51,
        'KG_AS_F': 51,
        'KG_AS_M': 51,
        'KG_A_A': 0,
        'KG_BL_F': 51,
        'KG_BL_M': 51,
        'KG_HI_F': 51,
        'KG_HI_M': 51,
        'KG_HP_F': 51,
        'KG_HP_M': 51,
        'KG_TR_F': 51,
        'KG_TR_M': 51,
        'KG_WH_F': 51,
        'KG_WH_M': 51,
        'PK_AM_F': 51,
        'PK_AM_M': 51,
        'PK_AS_F': 51,
        'PK_AS_M': 51,
        'PK_A_A': 12,
        'PK_BL_F': 51,
        'PK_BL_M': 51,
        'PK_HI_F': 51,
        'PK_HI_M': 51,
        'PK_HP_F': 51,
        'PK_HP_M': 51,
        'PK_TR_F': 51,
        'PK_TR_M': 51,
        'PK_WH_F': 51,
        'PK_WH_M': 51,
        'PRIMARY_KEY': 0,
        'STATE': 0,
        'YEAR': 0},
 1990: {'A_A_A': 0,
        'G01-G08_A_A': 51,
        'G01_AM_F': 51,
        'G01_AM_M': 51,
        'G01_AS_F': 51,
        'G01_AS_M': 51,
        'G01_A_A': 0,
        'G01_BL_F': 51,
        'G01_BL_M': 51,
        'G01_HI_F': 51,
        'G01_HI_M': 51,
        'G01_HP_F': 51,
        'G01_HP_M': 51,
        'G01_TR_F': 51,
        'G01_TR_M': 51,
        'G01_WH_F': 51,
        'G01_WH_M': 51,
        'G02_AM_F': 51,
        'G02_AM_M': 51,
        'G02_AS_F': 51,
        'G02_AS_M': 51,
        'G02_A_A': 0,
        'G02_BL_F': 51,
        'G02_BL_M': 51,
        'G02_HI_F': 51,
        'G02_HI_M': 51,
        'G02_HP_F': 51,
        'G02_HP_M': 51,
        'G02_TR_F': 51,
        'G02_TR_M': 51,
        'G02_WH_F': 51,
        'G02_WH_M': 51,
        'G03_AM_F': 51,
        'G03_AM_M': 51,
        'G03_AS_F': 51,
        'G03_AS_M': 51,
        'G03_A_A': 0,
        'G03_BL_F': 51,
        'G03_BL_M': 51,
        'G03_HI_F': 51,
        'G03_HI_M': 51,
        'G03_HP_F': 51,
        'G03_HP_M': 51,
        'G03_TR_F': 51,
        'G03_TR_M': 51,
        'G03_WH_F': 51,
        'G03_WH_M': 51,
        'G04_AM_F': 51,
        'G04_AM_M': 51,
        'G04_AS_F': 51,
        'G04_AS_M': 51,
        'G04_A_A': 0,
        'G04_BL_F': 51,
        'G04_BL_M': 51,
        'G04_HI_F': 51,
        'G04_HI_M': 51,
        'G04_HP_F': 51,
        'G04_HP_M': 51,
        'G04_TR_F': 51,
        'G04_TR_M': 51,
        'G04_WH_F': 51,
        'G04_WH_M': 51,
        'G05_AM_F': 51,
        'G05_AM_M': 51,
        'G05_AS_F': 51,
        'G05_AS_M': 51,
        'G05_A_A': 0,
        'G05_BL_F': 51,
        'G05_BL_M': 51,
        'G05_HI_F': 51,
        'G05_HI_M': 51,
        'G05_HP_F': 51,
        'G05_HP_M': 51,
        'G05_TR_F': 51,
        'G05_TR_M': 51,
        'G05_WH_F': 51,
        'G05_WH_M': 51,
        'G06_AM_F': 51,
        'G06_AM_M': 51,
        'G06_AS_F': 51,
        'G06_AS_M': 51,
        'G06_A_A': 0,
        'G06_BL_F': 51,
        'G06_BL_M': 51,
        'G06_HI_F': 51,
        'G06_HI_M': 51,
        'G06_HP_F': 51,
        'G06_HP_M': 51,
        'G06_TR_F': 51,
        'G06_TR_M': 51,
        'G06_WH_F': 51,
        'G06_WH_M': 51,
        'G07_AM_F': 51,
        'G07_AM_M': 51,
        'G07_AS_F': 51,
        'G07_AS_M': 51,
        'G07_A_A': 0,
        'G07_BL_F': 51,
        'G07_BL_M': 51,
        'G07_HI_F': 51,
        'G07_HI_M': 51,
        'G07_HP_F': 51,
        'G07_HP_M': 51,
        'G07_TR_F': 51,
        'G07_TR_M': 51,
        'G07_WH_F': 51,
        'G07_WH_M': 51,
        'G08_AM_F': 51,
        'G08_AM_M': 51,
        'G08_AS_F': 51,
        'G08_AS_M': 51,
        'G08_A_A': 0,
        'G08_BL_F': 51,
        'G08_BL_M': 51,
        'G08_HI_F': 51,
        'G08_HI_M': 51,
        'G08_HP_F': 51,
        'G08_HP_M': 51,
        'G08_TR_F': 51,
        'G08_TR_M': 51,
        'G08_WH_F': 51,
        'G08_WH_M': 51,
        'G09-G12_A_A': 51,
        'G09_AM_F': 51,
        'G09_AM_M': 51,
        'G09_AS_F': 51,
        'G09_AS_M': 51,
        'G09_A_A': 0,
        'G09_BL_F': 51,
        'G09_BL_M': 51,
        'G09_HI_F': 51,
        'G09_HI_M': 51,
        'G09_HP_F': 51,
        'G09_HP_M': 51,
        'G09_TR_F': 51,
        'G09_TR_M': 51,
        'G09_WH_F': 51,
